miliYAChe.|	miliYAChe.|,NP,0,0,n,n#
dekhatuma	dekhatuma,NP,0,0,n,n#
lambe	lamba,NV,0,n,n#lamba,NC,sg,0,n,n#lamba,NP,sg,0,n,n#
dahmuria'a	dahmuria'a,NP,0,0,n,n#
julAia-e	julAia-e,NP,0,0,n,n#
sebhenatha	sebhenatha,NP,0,0,n,n#
miui.NikyAla	miui.NikyAla,NP,0,0,n,n#
nira~njanalAla	nira~njanalAla,NP,0,0,n,n#
byabachchA	byabachchA,NP,0,0,n,n#
sAsapeNDeDa	sAsapeNDeDa,NP,0,0,n,n#
bhAichu.nkeo	bhAichu.nkeo,NP,0,0,n,n#
jaruria'te	jaruria'te,NP,0,0,n,n#
samAbeshabindu	samAbeshabindu,NP,0,0,n,n#
haiYAChea-a-	haiYAChea-a-,NP,0,0,n,n#
AbAsikake	AbAsika,NC,sg,acc,n,n#AbAsika,NV,acc,n,n#
pAsaporTaTi	pAsaporTaTi,NP,0,0,n,n#
bahmutaHa	bahmutaHa,NP,0,0,n,n#
mAnaka.D	mAnaka.D,NP,0,0,n,n#
yea-botAme	yea-botAme,NP,0,0,n,n#
ea-byApAreo	ea-byApAreo,NP,0,0,n,n#
Agarakarake	Agarakarake,NP,0,0,n,n#
bhAirolajia	bhAirolajia,NP,0,0,n,n#
biShaYaprAptia	biShaYaprAptia,NP,0,0,n,n#
bAkyagaThana	bAkyagaThana,NP,0,0,n,n#
AjalAlu	AjalAlu,NP,0,0,n,n#
uchchakoTIra	uchchakoTIra,NP,0,0,n,n#
yugmabarNa	yugmabarNa,NP,0,0,n,n#
karAgrasammatia	karAgrasammatia,NP,0,0,n,n#
janaruchi	janaruchi,NP,0,0,n,n#
ChepeChena	ChApA,VAUX,3,prs,pft,dcl,fin,n,n,y#ChApA,VM,3,prs,pft,dcl,fin,n,n,y#
mArakeTera	mArakeTera,NP,0,0,n,n#
puShpabAbu	puShpabAbu,NP,0,0,n,n#
pArseNTo	pArseNTo,NP,0,0,n,n#
myAkAoke	myAkAoke,NP,0,0,n,n#
mashAa-	mashAa-,NP,0,0,n,n#
bakasAdA	bakasAdA,NP,0,0,n,n#
ThAkarea-saha	ThAkarea-saha,NP,0,0,n,n#
badalAna	badalAna,NP,0,0,n,n#
ka.nYera	ka.nYera,NP,0,0,n,n#
gadye	gadya,NC,sg,0,n,n#gadya,NV,0,n,n#gadya,NP,sg,0,n,n#
