বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
বাংলা ভুমি খন্ডের প্রাচীন জনপদগুলোর নাম কি কি?	উঃ গৌড় -(পুন্ড্রু, বরেন্দ্রীয়, রাঢ়), সুহ্ম-(তাম্র, লিপ্পি, সমতট), বঙ্গ-(বঙ্গাল, হরিকেল)
রাজা শশাঙ্কের শাসনামলের পর বঙ্গ দেশ কয়টি জনপদে বিভিক্ত ছিল?	উঃ ৩টি । যথাঃ পুন্ড্রু, গৌড়, বঙ্গ।	
প্রাচীন জনপদ পুন্ড্রের রাজধানীর ধ্বংশাবশেষ বর্তমান বাংলাদেশের কোথায় পাওয়া যায়?	উঃ বগুড়া জেলার মহাস্থানগড়ে।			
দেশবাচক নাম হিসেবে বাংলা শব্দের ব্যবহার কখন প্রয়োগ হয় ?	উঃ মুসলিম শাসনামলের প্রথম দিকে।			
সম্রাট আকবরের আমলে সমগ্র বঙ্গদেশ কি নামে পরিচিতি ছিল ?	উঃ সুবহ-ই-বাঙ্গালাহ নামে।			
Bengal এবং Bangla কোন শব্দের রুপান্তর?	উঃ ফারসী ‘বাঙ্গালহ্’ শব্দের।			
কোন গ্রন্থে বাংলা শব্দের প্রথম ব্যবহার হয়েছে?	উঃ আইন-ই-আকবরী গ্রন্থে।			
সমগ্র বাংলাদেশ ‘বঙ্গ’ নামে ঐক্যবদ্ধ হয় কোন আমলে?	উঃ পাঠান আমলে।			
প্রাচীন কর্ণসুবর্ণ বলতে কোন অঞ্চলকে বুঝায়?	উঃ আধুনিক মুর্শিদাবাদ জেলার রাঙামাটি গ্রামকে।			
আর্যগণ কবে বাংলাদেশে আগমন করে?	উঃ ২০০০ খ্রিঃ পূর্বাব্দে।			
আর্যগণ আগমনের পূর্বে এ দেশে কাদের বসবাস ছিল?	উঃ অনার্যদের			
চীনা পরিব্রাজক হিউ-এন-স্যঙ কবে বাংলায় আগমন করেন ?	উঃ সপ্তম শতকে।			
বাংলার শাসন পদ্ধতি সুষ্পষ্ট বিবরণ পাওয়া যায় কোন যুগে ?	উঃ গুপ্ত যুগে।			
কোন সম্রাটের আমলে এ দেশে বৌদ্ধ ধর্মের প্রসার ঘটে ?	উঃ সম্রাট অশোকের আমলে।			
প্রাচীন সভ্যতার অভ্যুদয় ঘটে কোথায়?	উঃ এশিয়া ও আফ্রিকা মহাদেশ।			
প্রাচীন বাংলাদেশে কয়টি জনপদ বিভক্ত ছিল ?	উঃ তিনটি জনপদে।			
আর্যদের ধর্মগ্রন্থের নাম কি ?	উঃ বেদ।			
বৈদিক যুগের শিক্ষার ভাষা কি ছিল ?	উঃ সংস্কৃত।			
বাংলার আদি জনগোষ্ঠীর কোন ভাষাভাষা ছিল ?	উঃ অষ্ট্রিক।			
সিন্ধু সভ্যতা কোন যুগের?	উঃ তাম্র যুগের।			
সিন্ধু সভ্যতা কখন আবিস্কার হয়?	উঃ ১৯২২ সালে।			
গৌতম বুদ্ধের জন্ম স্থান কোথায়?	উঃ লুম্বিনী (নেপাল)।
প্রাচীন ভারতের সর্বপ্রথম সর্বভারতীয় সম্রাট কে ?	উঃ চন্দ্রগুপ্ত মৌর্য।			
মৌর্য সাম্রাজ্যের প্রতিষ্ঠাতা কে?	উঃ চন্দ্রগুপ্ত মৌর্য।			
সর্বশেষ মৌর্য সম্রাট কে?	উঃ বৃহদ্রথ।			
দ্বিতীয় চন্দ্রগুপ্তের উপাধি কি ছিল?	উঃ বিক্রামাদিত্য।			
চীনা বৌদ্ধ পন্ডিত হিউয়েন সাঙ ভারতে আসেন কোন রাজার আমলে ?	উঃ হর্যবর্ধন।			
ভারত বর্ষ থেকে কোন রাজন্য গ্রীকদের বিতাড়িত করেন ?	উঃ মৌর্য সাম্রােেজ্যর প্রতিষ্ঠাতা চন্দ্রগুপ্ত।			
